"CO_NCM","Setor","Subsetor","Produto","NCM"
"08109090","FRUTAS (INCLUI NOZES E CASTANHAS)","OUTRAS FRUTAS","OUTRAS FRUTAS SECAS OU FRESCAS","OUTRA"
"08111000","FRUTAS (INCLUI NOZES E CASTANHAS)","MORANGOS","MORANGOS CONGELADOS","MORANGOS CONGELADOS,NAO COZIDOS/COZIDOS EM AGUA/VAPOR"
"08112000","FRUTAS (INCLUI NOZES E CASTANHAS)","OUTRAS FRUTAS","OUTRAS FRUTAS CONGELADAS","FRAMBOESAS,AMORAS,GROSELHAS,CONGELADAS,COZIDAS OU NAO"
"08119000","FRUTAS (INCLUI NOZES E CASTANHAS)","OUTRAS FRUTAS","OUTRAS FRUTAS CONGELADAS","OUTRAS FRUTAS CONGELAD.N/COZIDAS,COZIDAS EM AGUA/VAPOR"
"08121000","FRUTAS (INCLUI NOZES E CASTANHAS)","CEREJAS","CEREJAS PREPARADAS OU CONSERVADAS","CEREJAS CONSERVADAS EM AGUA SALGADA,SULFURADA,ETC."
"08122000","FRUTAS (INCLUI NOZES E CASTANHAS)","MORANGOS","MORANGOS PREPARADOS OU CONSERVADOS","MORANGOS CONSERVADOS EM AGUA SALGADA,SULFURADA,ETC."
"08129000","FRUTAS (INCLUI NOZES E CASTANHAS)","CONSERVAS E PREPARAÇÕES DE FRUTAS (EXCL. SUCOS)","OUTRAS FRUTAS PREPARADAS OU CONSERVADAS","OUTRAS FRUTAS CONSERVAD.EM AGUA SALGADA,SULFURADA,ETC."
"08131000","FRUTAS (INCLUI NOZES E CASTANHAS)","DAMASCOS","DAMASCOS SECOS","DAMASCOS SECOS"
"08132010","FRUTAS (INCLUI NOZES E CASTANHAS)","AMEIXAS","AMEIXAS SECAS","AMEIXAS SECAS,COM CAROCO"
"08132020","FRUTAS (INCLUI NOZES E CASTANHAS)","AMEIXAS","AMEIXAS SECAS","AMEIXAS SECAS,SEM CAROCO"
"08133000","FRUTAS (INCLUI NOZES E CASTANHAS)","MAÇÃS","MAÇÃS SECAS","MACAS SECAS"
"08134010","FRUTAS (INCLUI NOZES E CASTANHAS)","PÊRAS","PÊRAS SECAS","PERAS SECAS"
"08134090","FRUTAS (INCLUI NOZES E CASTANHAS)","OUTRAS FRUTAS","OUTRAS FRUTAS SECAS OU FRESCAS","OUTRAS FRUTAS SECAS"
"08135000","FRUTAS (INCLUI NOZES E CASTANHAS)","OUTRAS FRUTAS","OUTRAS FRUTAS SECAS OU FRESCAS","MISTURAS DE FRUTAS SECAS OU DE FRUTAS DE CASCA RIJA"
"08140000","FRUTAS (INCLUI NOZES E CASTANHAS)","OUTRAS FRUTAS","OUTRAS FRUTAS SECAS OU FRESCAS","CASCAS DE CITRICOS,MELOES,MELANCIAS,FRESCAS,SECAS,ETC."
"09011110","CAFÉ","CAFÉ VERDE E CAFÉ TORRADO","CAFÉ VERDE","CAFE NAO TORRADO,NAO DESCAFEINADO,EM GRAO"
"09011190","CAFÉ","CAFÉ VERDE E CAFÉ TORRADO","CAFÉ VERDE","CAFE NAO TORRADO,NAO DESCAFEINADO,EXCETO EM GRAO"
"09011200","CAFÉ","CAFÉ VERDE E CAFÉ TORRADO","CAFÉ VERDE","CAFE NAO TORRADO,DESCAFEINADO"
"09012100","CAFÉ","CAFÉ VERDE E CAFÉ TORRADO","CAFÉ TORRADO","CAFE TORRADO,NAO DESCAFEINADO"
"09012200","CAFÉ","CAFÉ VERDE E CAFÉ TORRADO","CAFÉ TORRADO","CAFE TORRADO,DESCAFEINADO"
"09019000","CAFÉ","EXTRATOS DE CAFÉ E SUCEDÂNEOS DO CAFÉ","RESÍDUOS DO CAFÉ","CASCAS,PELICULAS DE CAFE E SUCEDANEOS DO CAFE"
"09021000","CHÁ, MATE E ESPECIARIAS","CHÁ, MATE E SUAS PREPARAÇÕES","CHÁ VERDE","CHA VERDE (NAO FERMENTADO),EM EMBALAGENS IMEDIATAS<=3KG"
"09022000","CHÁ, MATE E ESPECIARIAS","CHÁ, MATE E SUAS PREPARAÇÕES","CHÁ VERDE","CHA VERDE (NAO FERMENTADO),APRESENTADO EM QQ.OUT.FORMA"
"09023000","CHÁ, MATE E ESPECIARIAS","CHÁ, MATE E SUAS PREPARAÇÕES","CHÁ PRETO","CHA PRETO (FERMENTADO/PARCIALM.),EMBALAG.IMEDIATAS<=3KG"
"09024000","CHÁ, MATE E ESPECIARIAS","CHÁ, MATE E SUAS PREPARAÇÕES","CHÁ PRETO","CHA PRETO (FERMENTADO/PARCIALM.) APRESENT.QQ.OUT.FORMA"
"09030010","CHÁ, MATE E ESPECIARIAS","CHÁ, MATE E SUAS PREPARAÇÕES","MATE","MATE SIMPLESMENTE CANCHEADO"
